vehicle_id,date,soh,soc,avg_temperature_c,charge_cycles_total,depth_of_discharge_pct,fast_charge_events_count,avg_charge_cap_pct
EV001,2025-07-01,99.97,62.3,28.39,0.9,36.94,5,100.0
EV001,2025-07-02,99.95,39.87,29.81,1.8,33.8,5,100.0
EV001,2025-07-03,99.91,70.5,27.96,3.17,33.72,3,97.39
EV001,2025-07-04,99.88,42.69,28.47,4.19,44.21,2,97.96
EV001,2025-07-05,99.86,84.96,33.73,5.06,52.45,3,100.0
EV001,2025-07-06,99.83,54.89,33.51,6.2,45.77,2,96.84
EV001,2025-07-07,99.79,77.94,26.82,7.54,43.8,4,100.0
EV001,2025-07-08,99.77,35.84,29.95,8.51,45.75,3,96.09
EV001,2025-07-09,99.74,59.11,32.88,9.83,36.43,6,95.68
EV001,2025-07-10,99.7,44.49,26.15,11.02,41.72,3,95.89
EV001,2025-07-11,99.66,92.68,35.09,12.06,33.96,4,100.0
EV001,2025-07-12,99.62,35.4,33.95,13.47,48.33,3,99.72
EV001,2025-07-13,99.58,70.42,26.53,14.77,48.08,5,96.41
EV001,2025-07-14,99.55,40.83,21.14,15.85,36.04,2,95.58
EV001,2025-07-15,99.5,81.63,23.55,17.22,33.62,2,96.89
EV001,2025-07-16,99.48,33.38,28.05,18.26,40.06,3,97.61
EV001,2025-07-17,99.44,62.48,29.25,19.45,36.12,2,97.74
EV001,2025-07-18,99.41,52.3,19.77,20.5,47.4,3,92.91
EV001,2025-07-19,99.39,71.33,30.91,21.32,45.39,2,95.14
EV001,2025-07-20,99.35,65.65,32.83,22.54,32.25,3,97.36
EV001,2025-07-21,99.33,66.97,29.72,23.4,49.09,4,100.0
EV001,2025-07-22,99.3,48.03,30.18,24.42,39.99,3,94.5
EV001,2025-07-23,99.27,64.63,33.44,25.72,42.34,2,100.0
EV001,2025-07-24,99.24,51.85,24.39,26.94,46.64,3,97.39
EV001,2025-07-25,99.21,89.31,33.56,28.04,53.04,3,100.0
EV001,2025-07-26,99.17,92.31,33.16,29.18,43.31,4,99.89
EV001,2025-07-27,99.14,78.18,28.3,30.4,49.66,3,99.18
EV001,2025-07-28,99.12,92.82,33.62,31.27,37.73,4,99.54
EV001,2025-07-29,99.08,40.33,34.27,32.56,49.01,3,93.8
EV001,2025-07-30,99.05,69.68,25.34,33.67,35.08,3,100.0
EV001,2025-07-31,99.02,68.87,31.17,34.89,40.98,5,99.17
EV001,2025-08-01,98.98,31.65,23.74,36.16,45.73,5,94.4
EV001,2025-08-02,98.95,80.17,21.7,37.39,25.71,3,96.04
EV001,2025-08-03,98.92,61.47,31.83,38.55,39.33,3,95.25
EV001,2025-08-04,98.89,82.76,33.79,39.35,50.1,2,98.91
EV001,2025-08-05,98.85,98.71,25.9,40.53,39.08,3,100.0
EV001,2025-08-06,98.83,30.79,27.89,41.47,41.24,3,85.92
EV001,2025-08-07,98.8,22.41,27.85,42.59,34.15,3,92.92
EV001,2025-08-08,98.78,48.77,30.07,43.42,51.07,2,97.31
EV001,2025-08-09,98.75,84.11,29.07,44.42,43.07,5,99.91
EV001,2025-08-10,98.72,25.46,27.84,45.44,40.78,4,97.07
EV001,2025-08-11,98.69,63.57,29.98,46.56,44.49,3,94.77
EV001,2025-08-12,98.67,91.04,32.99,47.42,34.87,4,92.86
EV001,2025-08-13,98.64,27.06,31.19,48.34,37.54,4,100.0
EV001,2025-08-14,98.61,35.49,33.25,49.3,36.33,4,98.6
EV001,2025-08-15,98.58,73.77,30.75,50.53,43.64,3,96.45
EV001,2025-08-16,98.56,88.59,32.8,51.39,27.69,3,99.85
EV001,2025-08-17,98.54,57.13,29.21,52.17,44.47,2,95.31
EV001,2025-08-18,98.5,88.76,32.99,53.36,33.38,4,96.26
EV001,2025-08-19,98.47,94.62,36.9,54.16,56.22,3,99.05
EV001,2025-08-20,98.44,89.2,33.94,54.95,50.56,4,96.83
EV001,2025-08-21,98.4,90.26,31.2,56.22,27.47,3,96.61
EV001,2025-08-22,98.36,40.43,35.25,57.35,35.02,3,94.78
EV001,2025-08-23,98.33,51.19,29.61,58.29,46.62,3,96.93
EV001,2025-08-24,98.3,58.77,25.26,59.3,41.29,2,95.02
EV001,2025-08-25,98.27,48.18,28.09,60.49,36.06,4,96.74
EV001,2025-08-26,98.24,49.15,32.11,61.81,23.58,1,100.0
EV001,2025-08-27,98.21,39.96,32.89,62.89,47.32,4,98.59
EV001,2025-08-28,98.19,83.02,26.81,63.83,39.98,4,96.92
EV001,2025-08-29,98.16,25.59,32.72,64.96,40.3,3,93.37
EV001,2025-08-30,98.12,28.4,25.86,66.14,38.0,3,94.85
EV001,2025-08-31,98.1,64.11,26.2,67.21,31.38,3,98.94
EV001,2025-09-01,98.06,61.84,30.48,68.33,51.03,3,100.0
EV001,2025-09-02,98.03,60.4,29.41,69.62,40.91,2,97.86
EV001,2025-09-03,97.97,31.07,36.21,71.0,46.71,4,100.0
EV001,2025-09-04,97.93,45.63,28.59,72.24,25.06,3,92.39
EV001,2025-09-05,97.91,59.35,29.73,73.04,46.18,3,100.0
EV001,2025-09-06,97.88,86.52,31.87,74.08,33.87,3,90.5
EV001,2025-09-07,97.85,96.08,28.07,75.28,34.18,4,96.09
EV001,2025-09-08,97.82,78.03,32.64,76.23,35.46,4,92.24
EV001,2025-09-09,97.79,88.34,32.08,77.55,34.51,3,94.45
EV001,2025-09-10,97.75,73.54,30.94,78.8,39.75,2,96.51
EV001,2025-09-11,97.73,54.57,33.22,79.7,33.62,2,99.34
EV001,2025-09-12,97.7,30.95,30.53,80.89,28.49,2,97.19
EV001,2025-09-13,97.67,80.72,28.29,81.95,54.35,2,95.94
EV001,2025-09-14,97.63,88.66,23.77,83.29,37.73,3,95.31
EV001,2025-09-15,97.61,79.33,27.87,84.2,42.96,4,97.73
EV001,2025-09-16,97.58,91.55,25.01,85.29,40.61,3,98.75
EV001,2025-09-17,97.56,95.68,31.38,86.66,38.27,1,97.19
EV001,2025-09-18,97.53,59.83,29.82,87.54,55.82,2,100.0
EV001,2025-09-19,97.48,42.37,29.67,88.84,35.31,3,99.28
EV001,2025-09-20,97.45,51.81,33.32,90.02,52.43,5,92.66
EV001,2025-09-21,97.42,43.98,26.95,91.39,48.4,1,93.35
EV001,2025-09-22,97.38,64.53,38.2,92.36,31.81,3,100.0
EV001,2025-09-23,97.34,69.43,35.91,93.48,32.88,6,97.42
EV001,2025-09-24,97.3,97.17,24.89,94.83,50.08,3,97.92
EV001,2025-09-25,97.27,34.66,29.94,95.66,16.02,3,96.57
EV001,2025-09-26,97.25,77.89,26.49,96.44,46.86,3,95.49
EV001,2025-09-27,97.21,88.97,33.19,97.81,42.5,4,96.41
EV001,2025-09-28,97.18,63.78,28.33,99.09,60.95,3,97.08
EV001,2025-09-29,97.13,48.22,40.61,100.42,40.24,5,100.0
EV001,2025-09-30,97.11,30.4,25.03,101.2,47.51,3,100.0
EV001,2025-10-01,97.07,88.72,25.9,102.42,33.66,3,97.9
EV001,2025-10-02,97.04,45.85,26.2,103.72,29.81,3,99.84
EV001,2025-10-03,97.0,89.2,29.94,105.1,47.56,3,100.0
EV001,2025-10-04,96.97,24.83,25.04,106.25,33.92,3,94.49
EV001,2025-10-05,96.94,44.61,27.41,107.39,52.22,4,95.75
EV001,2025-10-06,96.89,62.32,40.98,108.48,37.96,3,97.08
EV001,2025-10-07,96.85,52.26,23.1,109.87,34.86,3,98.73
EV001,2025-10-08,96.82,76.9,27.28,111.17,38.76,4,99.95
EV001,2025-10-09,96.79,33.85,33.38,112.34,47.07,4,93.31
EV001,2025-10-10,96.76,44.53,25.95,113.48,36.17,4,97.6
EV001,2025-10-11,96.73,33.07,31.89,114.33,54.86,5,97.86
EV001,2025-10-12,96.7,50.86,33.84,115.66,54.55,4,97.66
EV001,2025-10-13,96.67,35.25,40.68,116.58,36.62,4,99.62
EV001,2025-10-14,96.63,82.47,24.03,117.77,31.31,4,100.0
EV001,2025-10-15,96.59,29.67,35.19,118.89,31.2,5,96.4
EV001,2025-10-16,96.56,41.5,31.43,119.82,27.32,3,94.51
EV001,2025-10-17,96.54,74.55,29.99,120.65,44.55,4,95.73
EV001,2025-10-18,96.52,70.73,27.2,121.45,47.94,5,96.69
EV001,2025-10-19,96.49,30.63,28.61,122.49,26.64,2,93.87
EV001,2025-10-20,96.47,20.99,34.84,123.4,34.71,4,95.63
EV001,2025-10-21,96.43,73.73,27.38,124.65,53.87,3,100.0
EV001,2025-10-22,96.39,78.82,27.64,125.98,41.41,3,95.81
EV001,2025-10-23,96.37,68.12,29.31,126.86,38.43,4,93.8
EV001,2025-10-24,96.34,23.84,29.04,127.91,36.55,3,90.23
EV001,2025-10-25,96.31,54.11,30.16,129.05,33.34,4,96.26
EV001,2025-10-26,96.28,62.86,26.23,130.15,44.87,5,97.77
EV001,2025-10-27,96.25,43.91,20.67,131.24,47.09,3,96.31
EV001,2025-10-28,96.22,46.43,29.74,132.28,36.01,4,98.39
EV001,2025-10-29,96.19,51.29,31.31,133.26,40.68,3,94.02
EV001,2025-10-30,96.17,62.29,29.79,134.41,22.26,3,98.2
EV001,2025-10-31,96.14,42.55,31.02,135.41,36.05,4,96.56
EV001,2025-11-01,96.1,63.55,34.12,136.69,49.24,3,93.29
EV001,2025-11-02,96.08,25.49,32.56,137.73,52.31,2,99.72
EV001,2025-11-03,96.04,86.51,23.07,138.98,36.87,4,96.53
EV001,2025-11-04,95.99,46.02,37.17,140.09,49.09,2,100.0
EV001,2025-11-05,95.95,23.57,31.77,141.36,32.66,3,96.9
EV001,2025-11-06,95.93,31.61,27.97,142.43,53.86,3,97.05
EV001,2025-11-07,95.9,38.94,26.01,143.59,35.96,3,97.79
EV001,2025-11-08,95.86,64.19,25.22,144.83,36.74,3,94.32
EV001,2025-11-09,95.83,80.36,26.79,145.94,31.69,2,96.96
EV001,2025-11-10,95.79,53.68,29.85,147.01,41.38,3,95.31
EV001,2025-11-11,95.75,29.59,29.72,148.33,27.06,3,94.91
EV001,2025-11-12,95.72,81.85,27.89,149.43,42.79,3,94.94
EV001,2025-11-13,95.69,81.38,27.87,150.78,43.75,3,94.2
EV001,2025-11-14,95.65,38.68,31.42,151.9,37.21,3,100.0
EV001,2025-11-15,95.63,20.22,25.11,152.74,49.7,4,100.0
